route_id,service_id,trip_id,trip_headsign,shape_id,block_id
701,1701,2167558:546146:558857,Express - Cataraqui Centre via Brock/Bath,1377,558857
701,1723,2165404:546148:553165,Express - Cataraqui Centre via Brock/Bath,1377,553165
701,1724,2165404:546148:558781,Express - Cataraqui Centre via Brock/Bath,1377,558781
15,1723,2164936:546150:552068,Centre 70 Park & Ride,1733,552068
801,1723,2165585:546152:553100,Express - Cataraqui Centre via Brock/Bath,1468,553100
801,1724,2165585:546152:558813,Express - Cataraqui Centre via Brock/Bath,1468,558813
7,1708,2169208:546153:558850,Cataraqui Centre,1569,558850
502,1708,2168155:546154:558919,Express - Downtown via Bayridge/Front,1516,558919
601,1712,2165813:546159:549228,A - Express - Queen's/KGH via Highway 15,1565,549228
502,1701,2166517:546160:549116,Express - Cataraqui Centre via Princess,1501,549116
2B,1708,2168383:546161:549301,Downtown,1558,549301
19,1701,2167054:546164:558812,Cataraqui Centre,1300,558812
701,1701,2166733:546165:558883,Express - Cataraqui Centre via Downtown,1610,558883
7,1723,2165034:546166:552022,Cataraqui Centre,1418,552022
7,1724,2165034:546166:558943,Cataraqui Centre,1418,558943
602,1701,2167473:546167:549154,Express - Innovation / Highway 15 via CFB,1576,549154
7,1712,2165219:546168:549192,Cataraqui Centre,1418,549192
502,1701,2166404:546169:549116,Express - Cataraqui Centre via Princess,1501,549116
601,1723,2165771:546170:552022,A - Express - Queen's/KGH via Highway 15,1565,552022
601,1724,2165771:546170:558943,A - Express - Queen's/KGH via Highway 15,1565,558943
601,1701,2167518:546171:549355,Express - Queen's/KGH via CFB Kingston,1358,549355
7B,1723,2165352:546172:553066,Bus Terminal,1380,553066
7B,1724,2165352:546172:558915,Bus Terminal,1380,558915
801,1723,2165588:546176:553151,Express - Cataraqui Centre via Brock/Bath,1468,553151
801,1724,2165588:546176:558798,Express - Cataraqui Centre via Brock/Bath,1468,558798
601,1712,2165714:546183:551998,B - Express - Downtown,1572,551998
701,1708,2169013:546185:558925,Express - Cataraqui Centre via Downtown,1610,558925
501,1712,2164522:546187:551945,Express - Downtown via Princess St,1117,551945
601,1701,2167527:546189:549355,Express - Queen's/KGH via CFB Kingston,1358,549355
602,1708,2168920:546192:549099,Express - Innovation / Highway 15 via CFB,1576,549099
